source_video,frame_number,timestamp_seconds,marker_raw_present,marker_raw_confidence,power_adapter_raw_present,power_adapter_raw_confidence,marker_stable_present,power_adapter_stable_present,marker_window_positive_count,power_adapter_window_positive_count,temporal_window_frames,minimum_positive_frames
T_20260715_015858_798765.mp4,237,7.9,False,0.0,True,0.256604,False,False,0,1,5,3
T_20260715_015858_798765.mp4,238,7.933333,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,239,7.966667,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,240,8.0,False,0.0,True,0.256968,False,False,0,2,5,3
T_20260715_015858_798765.mp4,241,8.033333,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,242,8.066667,False,0.0,True,0.253157,False,False,0,2,5,3
T_20260715_015858_798765.mp4,243,8.1,False,0.0,True,0.251962,False,True,0,3,5,3
T_20260715_015858_798765.mp4,244,8.133333,False,0.0,True,0.254049,False,True,0,4,5,3
T_20260715_015858_798765.mp4,245,8.166667,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,246,8.2,False,0.0,True,0.259538,False,True,0,4,5,3
T_20260715_015858_798765.mp4,247,8.233333,False,0.0,True,0.270264,False,True,0,4,5,3
T_20260715_015858_798765.mp4,248,8.266667,False,0.0,True,0.281907,False,True,0,4,5,3
T_20260715_015858_798765.mp4,249,8.3,False,0.0,True,0.25553,False,True,0,4,5,3
T_20260715_015858_798765.mp4,250,8.333333,False,0.0,True,0.262586,False,True,0,5,5,3
T_20260715_015858_798765.mp4,251,8.366667,False,0.0,True,0.269473,False,True,0,5,5,3
T_20260715_015858_798765.mp4,252,8.4,False,0.0,True,0.272857,False,True,0,5,5,3
T_20260715_015858_798765.mp4,253,8.433333,False,0.0,True,0.289657,False,True,0,5,5,3
T_20260715_015858_798765.mp4,254,8.466667,False,0.0,True,0.296146,False,True,0,5,5,3
T_20260715_015858_798765.mp4,255,8.5,False,0.0,True,0.291912,False,True,0,5,5,3
T_20260715_015858_798765.mp4,256,8.533333,False,0.0,True,0.294495,False,True,0,5,5,3
T_20260715_015858_798765.mp4,257,8.566667,False,0.0,True,0.293403,False,True,0,5,5,3
T_20260715_015858_798765.mp4,258,8.6,False,0.0,True,0.299736,False,True,0,5,5,3
T_20260715_015858_798765.mp4,259,8.633333,False,0.0,True,0.290366,False,True,0,5,5,3
T_20260715_015858_798765.mp4,260,8.666667,False,0.0,True,0.309077,False,True,0,5,5,3
T_20260715_015858_798765.mp4,261,8.7,False,0.0,True,0.30687,False,True,0,5,5,3
T_20260715_015858_798765.mp4,262,8.733333,False,0.0,True,0.29543,False,True,0,5,5,3
T_20260715_015858_798765.mp4,263,8.766667,False,0.0,True,0.290106,False,True,0,5,5,3
T_20260715_015858_798765.mp4,264,8.8,False,0.0,False,0.0,False,True,0,4,5,3
T_20260715_015858_798765.mp4,265,8.833333,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,266,8.866667,False,0.0,True,0.25237,False,True,0,3,5,3
T_20260715_015858_798765.mp4,267,8.9,False,0.0,True,0.258841,False,True,0,3,5,3
T_20260715_015858_798765.mp4,268,8.933333,False,0.0,True,0.260241,False,True,0,3,5,3
T_20260715_015858_798765.mp4,269,8.966667,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,270,9.0,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,271,9.033333,False,0.0,True,0.265107,False,True,0,3,5,3
T_20260715_015858_798765.mp4,272,9.066667,False,0.0,True,0.252659,False,True,0,3,5,3
T_20260715_015858_798765.mp4,273,9.1,False,0.0,True,0.264089,False,True,0,3,5,3
T_20260715_015858_798765.mp4,274,9.133333,False,0.0,False,0.0,False,True,0,3,5,3
